date,geography,geography code,Rural Urban,Household Spaces: All categories: Household spaces; measures: Value,Household Spaces: Household spaces with at least one usual resident; measures: Value,Household Spaces: Household spaces with no usual residents; measures: Value
2011,BH19 3,BH19 3,Total,1152,848,304
2011,BH2  5,BH2  5,Total,2922,2572,350
2011,BH2  6,BH2  6,Total,2349,2204,145
2011,BH20 4,BH20 4,Total,2691,2557,134
2011,BH20 5,BH20 5,Total,2067,1733,334
2011,BH20 6,BH20 6,Total,2376,2256,120
2011,BH20 7,BH20 7,Total,2037,1946,91
2011,BH21 1,BH21 1,Total,4939,4807,132
2011,BH21 2,BH21 2,Total,3818,3759,59
2011,BH21 3,BH21 3,Total,4202,4128,74
2011,BH21 4,BH21 4,Total,862,848,14
2011,BH21 5,BH21 5,Total,1054,978,76
2011,BH21 6,BH21 6,Total,593,560,33
2011,BH21 7,BH21 7,Total,1651,1586,65
2011,BH21 8,BH21 8,Total,213,201,12
2011,BH22 0,BH22 0,Total,3657,3492,165
2011,BH22 8,BH22 8,Total,4846,4673,173
2011,BH22 9,BH22 9,Total,4219,4034,185
2011,BH23 1,BH23 1,Total,3017,2701,316
2011,BH23 2,BH23 2,Total,5164,4931,233
2011,BH23 3,BH23 3,Total,4258,3955,303
2011,BH23 4,BH23 4,Total,4978,4600,378
2011,BH23 5,BH23 5,Total,3715,3373,342
